Base ID Group 1,Base ID Group 2,Correlation
Human_Milk_Intestinal,Human_Milk_Gastric,-0.057
Human_Milk_Intestinal,Human_Milk_Feed,-0.094
Human_Milk_Intestinal,Control_Feed,-0.104
Human_Milk_Intestinal,Control_Gastric,-0.055
Human_Milk_Intestinal,Control_Intestinal,0.106
Human_Milk_Intestinal,A1_Feed,-0.102
Human_Milk_Intestinal,A1_Gastric,-0.129
Human_Milk_Intestinal,A1_Intestinal,0.089
Human_Milk_Intestinal,B_Feed,-0.06
Human_Milk_Intestinal,B_Gastric,-0.031
Human_Milk_Intestinal,B_Intestinal,0.244
Human_Milk_Intestinal,C_Feed,0.06
Human_Milk_Intestinal,C_Gastric,0.137
Human_Milk_Intestinal,C_Intestinal,0.241
Human_Milk_Intestinal,D_Feed,-0.067
Human_Milk_Intestinal,D_Gastric,-0.084
Human_Milk_Intestinal,D_Intestinal,0.097
Human_Milk_Intestinal,E_Feed,-0.096
Human_Milk_Intestinal,E_Gastric,0.03
Human_Milk_Intestinal,E_Intestinal,0.071
Human_Milk_Intestinal,F_Feed,-0.091
Human_Milk_Intestinal,F_Gastric,-0.12
Human_Milk_Intestinal,F_Intestinal,0.085
Human_Milk_Intestinal,G_Feed,-0.03
Human_Milk_Intestinal,G_Gastric,-0.034
Human_Milk_Intestinal,G_Intestinal,0.048
Human_Milk_Intestinal,H_Feed,0.002
Human_Milk_Intestinal,H_Gastric,-0.067
Human_Milk_Intestinal,H_Intestinal,0.077
Human_Milk_Intestinal,I_Feed,-0.065
Human_Milk_Intestinal,I_Gastric,-0.112
Human_Milk_Intestinal,I_Intestinal,0.057
Human_Milk_Intestinal,J_Feed,-0.04
Human_Milk_Intestinal,J_Gastric,-0.089
Human_Milk_Intestinal,J_Intestinal,0.097
Human_Milk_Gastric,Human_Milk_Feed,0.454
Human_Milk_Gastric,Control_Feed,-0.137
Human_Milk_Gastric,Control_Gastric,0.156
Human_Milk_Gastric,Control_Intestinal,-0.091
Human_Milk_Gastric,A1_Feed,-0.175
Human_Milk_Gastric,A1_Gastric,0.112
Human_Milk_Gastric,A1_Intestinal,-0.066
Human_Milk_Gastric,B_Feed,0.058
Human_Milk_Gastric,B_Gastric,0.138
Human_Milk_Gastric,B_Intestinal,0.101
Human_Milk_Gastric,C_Feed,0.123
Human_Milk_Gastric,C_Gastric,0.492
Human_Milk_Gastric,C_Intestinal,0.121
Human_Milk_Gastric,D_Feed,-0.192
Human_Milk_Gastric,D_Gastric,0.163
Human_Milk_Gastric,D_Intestinal,-0.112
Human_Milk_Gastric,E_Feed,-0.143
Human_Milk_Gastric,E_Gastric,0.047
Human_Milk_Gastric,E_Intestinal,0.05
Human_Milk_Gastric,F_Feed,-0.242
Human_Milk_Gastric,F_Gastric,0.11
Human_Milk_Gastric,F_Intestinal,-0.095
Human_Milk_Gastric,G_Feed,-0.217
Human_Milk_Gastric,G_Gastric,0.129
Human_Milk_Gastric,G_Intestinal,-0.098
Human_Milk_Gastric,H_Feed,-0.147
Human_Milk_Gastric,H_Gastric,0.155
Human_Milk_Gastric,H_Intestinal,-0.107
Human_Milk_Gastric,I_Feed,-0.159
Human_Milk_Gastric,I_Gastric,0.129
Human_Milk_Gastric,I_Intestinal,-0.095
Human_Milk_Gastric,J_Feed,-0.209
Human_Milk_Gastric,J_Gastric,0.121
Human_Milk_Gastric,J_Intestinal,-0.123
Human_Milk_Feed,Control_Feed,-0.065
Human_Milk_Feed,Control_Gastric,-0.227
Human_Milk_Feed,Control_Intestinal,-0.127
Human_Milk_Feed,A1_Feed,-0.137
Human_Milk_Feed,A1_Gastric,-0.228
Human_Milk_Feed,A1_Intestinal,-0.141
Human_Milk_Feed,B_Feed,-0.091
Human_Milk_Feed,B_Gastric,-0.081
Human_Milk_Feed,B_Intestinal,-0.01
Human_Milk_Feed,C_Feed,0.03
Human_Milk_Feed,C_Gastric,-0.003
Human_Milk_Feed,C_Intestinal,0.022
Human_Milk_Feed,D_Feed,-0.159
Human_Milk_Feed,D_Gastric,-0.202
Human_Milk_Feed,D_Intestinal,-0.194
Human_Milk_Feed,E_Feed,-0.187
Human_Milk_Feed,E_Gastric,-0.199
Human_Milk_Feed,E_Intestinal,-0.185
Human_Milk_Feed,F_Feed,-0.185
Human_Milk_Feed,F_Gastric,-0.275
Human_Milk_Feed,F_Intestinal,-0.155
Human_Milk_Feed,G_Feed,-0.123
Human_Milk_Feed,G_Gastric,-0.22
Human_Milk_Feed,G_Intestinal,-0.195
Human_Milk_Feed,H_Feed,-0.08
Human_Milk_Feed,H_Gastric,-0.194
Human_Milk_Feed,H_Intestinal,-0.213
Human_Milk_Feed,I_Feed,-0.107
Human_Milk_Feed,I_Gastric,-0.207
Human_Milk_Feed,I_Intestinal,-0.162
Human_Milk_Feed,J_Feed,-0.082
Human_Milk_Feed,J_Gastric,-0.215
Human_Milk_Feed,J_Intestinal,-0.105
Control_Feed,Control_Gastric,0.36
Control_Feed,Control_Intestinal,0.127
Control_Feed,A1_Feed,0.911
Control_Feed,A1_Gastric,0.341
Control_Feed,A1_Intestinal,0.115
Control_Feed,B_Feed,0.011
Control_Feed,B_Gastric,0.035
Control_Feed,B_Intestinal,0.191
Control_Feed,C_Feed,0.1
Control_Feed,C_Gastric,-0.016
Control_Feed,C_Intestinal,0.128
Control_Feed,D_Feed,0.874
Control_Feed,D_Gastric,0.391
Control_Feed,D_Intestinal,0.128
Control_Feed,E_Feed,0.774
Control_Feed,E_Gastric,0.254
Control_Feed,E_Intestinal,0.221
Control_Feed,F_Feed,0.875
Control_Feed,F_Gastric,0.379
Control_Feed,F_Intestinal,0.097
Control_Feed,G_Feed,0.921
Control_Feed,G_Gastric,0.325
Control_Feed,G_Intestinal,0.159
Control_Feed,H_Feed,0.911
Control_Feed,H_Gastric,0.312
Control_Feed,H_Intestinal,0.072
Control_Feed,I_Feed,0.89
Control_Feed,I_Gastric,0.301
Control_Feed,I_Intestinal,0.129
Control_Feed,J_Feed,0.847
Control_Feed,J_Gastric,0.303
Control_Feed,J_Intestinal,0.159
Control_Gastric,Control_Intestinal,0.071
Control_Gastric,A1_Feed,0.366
Control_Gastric,A1_Gastric,0.923
Control_Gastric,A1_Intestinal,0.08
Control_Gastric,B_Feed,0.09
Control_Gastric,B_Gastric,0.269
Control_Gastric,B_Intestinal,0.092
Control_Gastric,C_Feed,0.063
Control_Gastric,C_Gastric,0.393
Control_Gastric,C_Intestinal,0.117
Control_Gastric,D_Feed,0.358
Control_Gastric,D_Gastric,0.912
Control_Gastric,D_Intestinal,0.055
Control_Gastric,E_Feed,0.382
Control_Gastric,E_Gastric,0.698
Control_Gastric,E_Intestinal,0.602
Control_Gastric,F_Feed,0.362
Control_Gastric,F_Gastric,0.9
Control_Gastric,F_Intestinal,0.052
Control_Gastric,G_Feed,0.396
Control_Gastric,G_Gastric,0.927
Control_Gastric,G_Intestinal,0.045
Control_Gastric,H_Feed,0.362
Control_Gastric,H_Gastric,0.92
Control_Gastric,H_Intestinal,0.043
Control_Gastric,I_Feed,0.396
Control_Gastric,I_Gastric,0.95
Control_Gastric,I_Intestinal,0.036
Control_Gastric,J_Feed,0.379
Control_Gastric,J_Gastric,0.915
Control_Gastric,J_Intestinal,0.074
Control_Intestinal,A1_Feed,0.034
Control_Intestinal,A1_Gastric,0.022
Control_Intestinal,A1_Intestinal,0.93
Control_Intestinal,B_Feed,0.291
Control_Intestinal,B_Gastric,0.274
Control_Intestinal,B_Intestinal,0.572
Control_Intestinal,C_Feed,0.186
Control_Intestinal,C_Gastric,0.115
Control_Intestinal,C_Intestinal,0.216
Control_Intestinal,D_Feed,0.059
Control_Intestinal,D_Gastric,0.068
Control_Intestinal,D_Intestinal,0.925
Control_Intestinal,E_Feed,0.145
Control_Intestinal,E_Gastric,0.762
Control_Intestinal,E_Intestinal,0.803
Control_Intestinal,F_Feed,-0.032
Control_Intestinal,F_Gastric,0.041
Control_Intestinal,F_Intestinal,0.903
Control_Intestinal,G_Feed,0.06
Control_Intestinal,G_Gastric,0.014
Control_Intestinal,G_Intestinal,0.941
Control_Intestinal,H_Feed,0.176
Control_Intestinal,H_Gastric,-0.0
Control_Intestinal,H_Intestinal,0.932
Control_Intestinal,I_Feed,0.104
Control_Intestinal,I_Gastric,0.042
Control_Intestinal,I_Intestinal,0.961
Control_Intestinal,J_Feed,0.095
Control_Intestinal,J_Gastric,0.088
Control_Intestinal,J_Intestinal,0.932
A1_Feed,A1_Gastric,0.366
A1_Feed,A1_Intestinal,0.058
A1_Feed,B_Feed,-0.002
A1_Feed,B_Gastric,0.015
A1_Feed,B_Intestinal,0.102
A1_Feed,C_Feed,0.039
A1_Feed,C_Gastric,-0.048
A1_Feed,C_Intestinal,0.108
