Master Protein Accessions,Avg_Threshold,Avg_Low,Avg_Moderate,Avg_Extreme,Avg_Bitter,Avg_Non_bitter,Rel_Avg_Threshold,Rel_Avg_Low,Rel_Avg_Moderate,Rel_Avg_Extreme,Rel_Avg_Bitter,Rel_Avg_Non_bitter,Description,avg_absorbance_all
P02666A1,27625800799.91036,28434834090.13495,19771934903.114582,22707848737.16816,21736944398.215836,28808395343.39565,35.252038644696995,59.94653313463972,65.7960813429572,61.680444682047586,62.735593446273974,42.5747832276639,BetaA1-casein,50.54
P02662,36298035189.52619,6781853056.546225,3639680269.62714,4437874385.73528,4336111127.6957,24988782246.91946,46.318285884110935,14.297554108450102,12.11195061364581,12.054425266061424,12.514569658986202,36.929928744878545,Alpha-S1-casein,27.28
P02663,10941119018.93383,6794735974.91254,2615184584.80739,3096942637.64554,2996957541.50593,9325286690.156559,13.961468601950397,14.324713974770024,8.702683804695793,8.412104609984821,8.649601639276083,13.781470805185009,Alpha-S2-casein,12.13
P02666A2,2443749616.281232,4941681075.157351,3604842097.62737,5896712727.3634405,4923426588.86017,3548556583.4886,3.1183586870498594,10.418089564852329,11.99601784277796,16.017011007773,14.209636974857398,5.244270828425776,BetaA2-casein,8.6
P02668,586022539.98867,284218006.10830003,250492049.04287001,529841449.92709,496359792.28278,568935955.8931,0.7477969372171508,0.5991905585460578,0.8335752325379373,1.4391876844322906,1.4325576567369516,0.8408078514558943,Kappa-casein,0.92
P80195,354986506.1208,179812342.55661,139403572.46940002,132711584.77083,135700125.25586998,318865185.73751,0.45298227272228114,0.37908174589373356,0.4639004143317615,0.3604793064226158,0.3916478660799942,0.4712381928879458,Glycosylation-dependent,0.43
P31096,57602573.2915,5333691.7813,6178320.6797,5217745.8657,5655603.5,48839436.689500004,0.073504046250581,0.011244529512081236,0.020559914444204457,0.014172759778319114,0.016322792908208695,0.07217786361340552,Osteopontin,0.04
P02754,21878403.57671,1528216.65757,4029999.53456,1128107.55779,3907306.62535,19677673.53627,0.027918044220928445,0.0032217979612447108,0.013410836040443378,0.003064234600954248,0.011276985183713785,0.029080852135122272,Beta-lactoglobulin,0.02
E1BAF5,256920.375,5041296.948,16576470.99,4742410.715,9814150.833,3845202.805,0.00032784450498678144,0.010628100504362952,0.055162372270677586,0.012881625430564056,0.028324890812622006,0.005682672496606465,Uncharacterized,0.01
C6KGD8,15194162.8446,3267395.9823000003,0.0,232431.40041,232431.40041,13980554.203499999,0.0193885860414007,0.006888349019236572,0.0,0.0006313443559228026,0.0006708266614265593,0.020661305759019737,Histatherin,0.01
A5D9F9,760355.5472,0.0,0.0,0.0,0.0,760355.5472,0.0009702554263582145,0.0,0.0,0.0,0.0,0.0011236992623892563,Transducer,0.0
A5D7J7,815029.375,0.0,0.0,0.0,0.0,815029.375,0.0010400222325557514,0.0,0.0,0.0,0.0,0.0012044995408867275,ARSE,0.0
E1BCP6,413459.957,253866.0,0.0,0.0,0.0,360261.9714,0.0005275976065912286,0.000535202228805627,0.0,0.0,0.0,0.0005324168581656917,Tyrosine-protein,0.0
A5D980,1587947.328,179122.8854,170512.8906,654418.25,412465.5703,984165.4242,0.0020263079784670337,0.0003776282270811173,0.000567424487027472,0.0017775707921630793,0.0011904282338344784,0.0014544589900278028,Protein,0.0
A5D9C4,564376.2448,509470.7813,179647.6875,209016.2519,203142.5391,536923.513,0.0007201750760435197,0.001074070169550488,0.0005978228189473851,0.0005677427004287254,0.000586295272746222,0.0007934979336171643,Nuclear,0.0
P02769,107730.5586,154470.45116,0.0,815095.42318,815095.42318,151024.02666,0.0001374701078346412,0.0003256557780303103,0.0,0.0022140119366637055,0.002352469332936064,0.0002231924104267222,Serum,0.0
P10152,61118.21289,13403.35449,55897.9974,73068.5625,60190.63868,45213.26009,7.799019540820294e-05,2.825705370754614e-05,0.00018601463143900254,0.0001984732891011864,0.0001737178587902168,6.681888124633201e-05,Angiogenin-1,0.0
P08037,1897307.5645,96587.92707,0.0,0.0,0.0,1617484.9766000002,0.002421068625994254,0.0002036274012415186,0.0,0.0,0.0,0.0023904168014875285,"Beta-1,4-galactosyltransferase",0.0
P18892,747838.2969,0.0,0.0,0.0,0.0,747838.2969,0.0009542827277024572,0.0,0.0,0.0,0.0,0.0011052005153477592,Butyrophilin,0.0
P11151,6576398.5,0.0,0.0,0.0,0.0,6576398.5,0.008391845570162787,0.0,0.0,0.0,0.0,0.009718998132966878,Lipoprotein,0.0
P81265,353487.9688,0.0,0.0,0.0,0.0,353487.9688,0.0004510700568221529,0.0,0.0,0.0,0.0,0.0005224058287820384,Polymeric,0.0
Q05688,2922950.26,0.0,0.0,0.0,0.0,2922950.26,0.0037298450194566467,0.0,0.0,0.0,0.0,0.004319712091609876,Insulin-like,0.0
Q0VC14,0.0,91916.97656,0.0,279792.3594,279792.3594,91916.97656,0.0,0.00019378006790978931,0.0,0.0007599890833420905,0.0008075164285801327,0.00013584044877672794,Transcription,0.0
Q2KJJ1,419588.1654,0.0,0.0,0.0,0.0,419588.1654,0.0005354175369854367,0.0,0.0,0.0,0.0,0.0006200926838812456,Solute,0.0
Q3T0W1,0.0,0.0,1594579.625,0.0,1594579.625,0.0,0.0,0.0,0.005306364360819086,0.0,0.0046021601398549385,0.0,Enoyl-Coenzyme,0.0
Q4GZT3,1680602.781,54982.69011,0.0,29338.60547,29338.60547,867792.7357,0.0021445414238413485,0.00011591492477370388,0.0,7.969131081883482e-05,8.467495666951349e-05,0.0012824764159395936,Polycystin-2,0.0
Q5E9H7,2402403.917,0.0,0.0,0.0,0.0,2402403.917,0.0030655993046373596,0.0,0.0,0.0,0.0,0.003550417327045391,Estradiol,0.0
Q8HXQ5,577531.8461,0.0,0.0,0.0,0.0,577531.8461,0.0007369623456246183,0.0,0.0,0.0,0.0,0.0008535113761696185,Multidrug,0.0
