Avg_Threshold,Avg_Low,Avg_Moderate,Avg_Extreme,Avg_Non_bitter,Avg_Bitter,Rel_Avg_Threshold,Rel_Avg_Low,Rel_Avg_Moderate,Rel_Avg_Extreme,Rel_Avg_Non_bitter,Rel_Avg_Bitter,Description,avg_absorbance_all,Count_Threshold,Rel_Count_Threshold,Count_Low,Rel_Count_Low,Count_Moderate,Rel_Count_Moderate,Count_Extreme,Rel_Count_Extreme,Count_Non_bitter,Rel_Count_Non_bitter,Count_Bitter,Rel_Count_Bitter
25152703962,20839593068,13747411750,15147861490,24117833484,14810815261,32.0860013,43.88591852,45.68732922,41.10090402,35.61887843,42.6966035,PO2666,38.55,0,0,0,0,0,0,0,0,0,0,0,0
36298035189,6781853057,3639680269,4437874386,24988782246,4336111128,46.30352291,14.2818456,12.09589658,12.04134652,36.90515557,12.50013685,CASA1_BOVIN Alpha-S1-casein,27.26,0,0,0,0,0,0,0,0,0,0,0,0
10941119019,6794735975,2615184585,3096942638,9325286690,2996957542,13.95701868,14.30897563,8.691148652,8.402977688,13.77222598,8.63962622,CASA2_BOVIN Alpha-S2-casein,12.12,0,0,0,0,0,0,0,0,0,0,0,0
2473096838,7595241024,6024523152,7559987246,4690561859,6926129138,3.154801507,15.99475228,20.02154134,20.51261892,6.927344976,19.96663819,CASB_BOVIN BetaA1-casein,11.95,0,0,0,0,0,0,0,0,0,0,0,0
2443749616,4941681075,3604842097,5896712727,3548556583,4923426589,3.117364777,10.40664337,11.98011747,15.99963295,5.24075289,14.19324927,CASB_BOVIN BetaA2-casein,8.59,0,0,0,0,0,0,0,0,0,0,0,0
586022540,284218006.1,250492049.1,529841449.9,568935955.8,496359792.3,0.747558593,0.598532237,0.832470353,1.437626202,0.840243824,1.430905515,CASK_BOVIN Kappa-casein,0.92,0,0,0,0,0,0,0,0,0,0,0,0
354986506.1,179812342.6,139403572.4,132711584.8,318865185.7,135700125.2,0.452837894,0.378665255,0.463285528,0.360088195,0.470922079,0.391196186,GLCM1_BOVIN Glycosylation-dependent cell adhesion molecule 1,0.43,0,0,0,0,0,0,0,0,0,0,0,0
5303378.656,52171957.33,39773747.83,39987076.1,25739210.68,39895649.7,0.006765245,0.109868473,0.132181704,0.108497492,0.03801344,0.115011139,A5D7J7_BOVIN ARSE protein,0.07,0,0,0,0,0,0,0,0,0,0,0,0
57602573.29,5333691.781,6178320.68,5217745.866,48839436.68,5655603.5,0.073480618,0.011232175,0.020532663,0.014157383,0.072129446,0.016303968,OSTP_BOVIN Osteopontin,0.04,0,0,0,0,0,0,0,0,0,0,0,0
22085234.74,179122.8854,280456.5859,654418.25,21481452.84,522409.2656,0.02817299,0.000377213,0.000932053,0.001775642,0.03172529,0.001506001,"A5D980_BOVIN Protein tyrosine phosphatase, non-receptor type 6",0.02,0,0,0,0,0,0,0,0,0,0,0,0
21878403.58,1528216.658,4029999.535,1128107.558,19677673.54,3907306.625,0.027909146,0.003218258,0.01339306,0.00306091,0.029061344,0.01126398,LACB_BOVIN Beta-lactoglobulin,0.02,0,0,0,0,0,0,0,0,0,0,0,0
256920.375,5041296.948,16576470.99,4742410.715,3845202.805,9814150.833,0.00032774,0.010616424,0.055089256,0.012867649,0.00567886,0.028292224,E1BAF5_BOVIN Uncharacterized protein,0.01,0,0,0,0,0,0,0,0,0,0,0,0
15194162.84,3267395.982,0,232431.4004,13980554.2,232431.4004,0.019382406,0.006880781,0,0.000630659,0.020647446,0.000670053,C6KGD8_BOVIN Histatherin,0.01,0,0,0,0,0,0,0,0,0,0,0,0
413459.957,253866,0,0,360261.9714,0,0.000527429,0.000534614,0,0,0.00053206,0,E1BCP6_BOVIN Tyrosine-protein kinase,0,0,0,0,0,0,0,0,0,0,0,0,0
760355.5472,0,0,0,760355.5472,0,0.000969946,0,0,0,0.001122945,0,"A5D9F9_BOVIN Transducer of ERBB2, 1 (Fragment)",0,0,0,0,0,0,0,0,0,0,0,0,0
564376.2448,509470.7813,179647.6875,209016.2519,536923.513,203142.5391,0.000719946,0.00107289,0.00059703,0.000567127,0.000792966,0.000585619,A5D9C4_BOVIN Nuclear factor 1 (Fragment),0,0,0,0,0,0,0,0,0,0,0,0,0
107730.5586,154470.4512,0,815095.4232,151024.0267,815095.4232,0.000137426,0.000325298,0,0.00221161,0.000223043,0.002349756,ALBU_BOVIN Serum albumin,0,0,0,0,0,0,0,0,0,0,0,0,0
6576398.5,0,0,0,6576398.5,0,0.008389171,0,0,0,0.009712478,0,LIPL_BOVIN Lipoprotein lipase,0,0,0,0,0,0,0,0,0,0,0,0,0
61118.21289,13403.35449,55897.9974,73068.5625,45213.26009,60190.63868,7.80E-05,2.82E-05,0.000185768,0.000198258,6.68E-05,0.000173518,ANG1_BOVIN Angiogenin-1,0,0,0,0,0,0,0,0,0,0,0,0,0
747838.2969,0,0,0,747838.2969,0,0.000953979,0,0,0,0.001104459,0,BT1A1_BOVIN Butyrophilin subfamily 1 member A1,0,0,0,0,0,0,0,0,0,0,0,0,0
1897307.564,96587.92707,0,0,1617484.977,0,0.002420297,0.000203404,0,0,0.002388813,0,"B4GT1_BOVIN Beta-1,4-galactosyltransferase 1",0,0,0,0,0,0,0,0,0,0,0,0,0
353487.9688,0,0,0,353487.9688,0,0.000450926,0,0,0,0.000522055,0,PIGR_BOVIN Polymeric immunoglobulin receptor,0,0,0,0,0,0,0,0,0,0,0,0,0
2922950.26,0,0,0,2922950.26,0,0.003728656,0,0,0,0.004316814,0,IGF1R_BOVIN Insulin-like growth factor 1 receptor (Fragment),0,0,0,0,0,0,0,0,0,0,0,0,0
0,91916.97656,0,279792.3594,91916.97656,279792.3594,0,0.000193567,0,0.000759165,0.000135749,0.000806585,Q0VC14_BOVIN Transcription factor AP-2 gamma (Activating enhancer binding protein 2 gamma),0,0,0,0,0,0,0,0,0,0,0,0,0
419588.1654,0,0,0,419588.1654,0,0.000535247,0,0,0,0.000619677,0,"Q2KJJ1_BOVIN Solute carrier family 25 (Mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17",0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1594579.625,0,0,1594579.625,0,0,0.005299331,0,0,0.004596853,"Q3T0W1_BOVIN Enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase",0,0,0,0,0,0,0,0,0,0,0,0,0
1680602.781,54982.69011,0,29338.60547,867792.7357,29338.60547,0.002143858,0.000115788,0,7.96E-05,0.001281616,8.46E-05,PKD2_BOVIN Polycystin-2,0,0,0,0,0,0,0,0,0,0,0,0,0
2402403.917,0,0,0,2402403.917,0,0.003064622,0,0,0,0.003548036,0,DHB12_BOVIN Estradiol 17-beta-dehydrogenase 12,0,0,0,0,0,0,0,0,0,0,0,0,0
577531.8461,0,0,0,577531.8461,0,0.000736727,0,0,0,0.000852939,0,MRP1_BOVIN Multidrug resistance-associated protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0
